clip_id,file_name,test_group,target_duration_sec,duration_tolerance_sec,scenario_action,expected_behavior_state,in_heat_context,helmet_on,zone_type,zone_status,expected_events,expected_event_count,event_count_unit,expected_rest_needed,expected_timer_reset,expected_person_count,expected_id_switch_count,tracking_expectation,zone_fixture,heat_fixture,recording_summary
C001,general_helmet_near_01.mp4,helmet_zone,12,2,stand,NORMAL,false,true,general,outside,none,0,person_episode,false,false,1,,not_applicable,none,none,"일반구역에서 안전모를 쓴 한 명을 근거리 정면 촬영"
C002,general_helmet_far_01.mp4,helmet_zone,15,2,walk,NORMAL,false,true,general,outside,none,0,person_episode,false,false,2,,not_applicable,none,none,"일반구역 원거리에서 안전모를 쓴 두 명이 측면으로 이동"
C003,general_nohelmet_bright_01.mp4,helmet_zone,12,2,stand,NORMAL,false,false,general,outside,none,0,person_episode,false,false,1,,not_applicable,none,none,"밝은 일반구역에서 안전모 없이 서 있으나 경고는 없어야 함"
C004,general_nohelmet_dim_01.mp4,helmet_zone,15,2,walk,NORMAL,false,false,general,outside,none,0,person_episode,false,false,1,,not_applicable,none,none,"약간 어두운 일반구역에서 안전모 없이 천천히 이동"
C005,general_nohelmet_cap_01.mp4,helmet_zone,15,2,walk,NORMAL,false,false,general,outside,none,0,person_episode,false,false,1,,not_applicable,none,none,"안전모와 비슷한 색의 일반 모자를 쓰고 일반구역을 이동"
C006,work_helmet_front_01.mp4,helmet_zone,12,2,stand,NORMAL,false,true,work_area,inside,none,0,person_episode,false,false,1,,not_applicable,work_area,none,"작업구역 안에서 안전모를 쓰고 정면으로 서 있음"
C007,work_helmet_side_01.mp4,helmet_zone,15,2,walk,NORMAL,false,true,work_area,inside,none,0,person_episode,false,false,1,,not_applicable,work_area,none,"작업구역 안에서 안전모를 쓰고 측면으로 이동"
C008,work_helmet_occluded_01.mp4,helmet_zone,15,2,walk,NORMAL,false,true,work_area,inside,none,0,person_episode,false,false,2,,not_applicable,work_area,none,"작업구역 안의 두 명 모두 안전모 착용, 한 명은 잠시 부분 가림"
C009,work_nohelmet_front_01.mp4,helmet_zone,12,2,stand,NORMAL,false,false,work_area,inside,no_helmet,1,person_episode,false,false,1,,not_applicable,work_area,none,"작업구역 안에서 안전모 없이 정면으로 서 있음"
C010,work_nohelmet_far_01.mp4,helmet_zone,15,2,walk,NORMAL,false,false,work_area,inside,no_helmet,1,person_episode,false,false,1,,not_applicable,work_area,none,"작업구역 안 원거리에서 안전모 없이 이동"
